           Element              Name           Azimuth              x[m]              y[m]              z[m]
------------------------------------------------------------------------------------------
            marker      MF0:cellmark          0.000000          0.000000          0.000000         -0.000000
             drift          DF0SP1A:          4.933372          0.000000          4.933372         -0.000000
          vmonitor         VBPMF0LU:          4.933372          0.000000          4.933372         -0.000000
             drift          DF0SP2A:          5.124372          0.000000          5.124372         -0.000000
          hmonitor         HBPMF0LU:          5.124372          0.000000          5.124372         -0.000000
             drift           DF0SP3:          6.471950          0.000000          6.471950         -0.000000
            markerMF0LAUS:injextmark          6.471950          0.000000          6.471950         -0.000000
             drift          DLAMBF0:          9.732675          0.000000          9.732675         -0.000000
            markerMF0LADS:injextmark          9.732675          0.000000          9.732675         -0.000000
             drift             D6IN:          9.885075          0.000000          9.885075         -0.000000
            markerMF0LBUS:injextmark          9.885075          0.000000          9.885075         -0.000000
             drift          DLAMBF0:         13.145800          0.000000         13.145800         -0.000000
            markerMF0LBDS:injextmark         13.145800          0.000000         13.145800         -0.000000
             drift             D3IN:         13.222000          0.000000         13.222000         -0.000000
            marker MTEV60:injextmark         13.222000          0.000000         13.222000         -0.000000
             drift             D3IN:         13.298200          0.000000         13.298200         -0.000000
            markerMF0LCUS:injextmark         13.298200          0.000000         13.298200         -0.000000
             drift          DLAMBF0:         16.558925          0.000000         16.558925         -0.000000
            markerMF0LCDS:injextmark         16.558925          0.000000         16.558925         -0.000000
             drift             D6IN:         16.711325          0.000000         16.711325         -0.000000
            markerMF0LDUS:injextmark         16.711325          0.000000         16.711325         -0.000000
             drift          DLAMBF0:         19.972050          0.000000         19.972050         -0.000000
            markerMF0LDDS:injextmark         19.972050          0.000000         19.972050         -0.000000
             drift           DF0SP4:         20.818372          0.000000         20.818372         -0.000000
          hmonitor         HBPMF0LD:         20.818372          0.000000         20.818372         -0.000000
             drift          DF0SP2A:         21.009372          0.000000         21.009372         -0.000000
          vmonitor         VBPMF0LD:         21.009372          0.000000         21.009372         -0.000000
             drift           DF0SP5:         24.284372          0.000000         24.284372         -0.000000
             drift         DF0STRIP:         25.284372          0.000000         25.284372         -0.000000
             drift           DF0SP6:         26.410612          0.000000         26.410612         -0.000000
             drift        DQUAD1END:         26.595575          0.000000         26.595575         -0.000000
        quadrupole          HQUAD1F:         29.120375          0.000000         29.120375         -0.000000
             drift        DQUAD1END:         29.305338          0.000000         29.305338         -0.000000
             drift           DCOLD1:         29.606963          0.000000         29.606963         -0.000000
             drift       DSTRAIGHT1:         32.050214          0.000000         32.050214         -0.000000
             drift           DCOLD2:         32.478839          0.000000         32.478839         -0.000000
